Representative,Party,District,Score,Year,Lifetime Score
"East, John Porter",R,NC,0.11,1984,0.09
"Jones, Sr., Walter B.",D,NC-01,0.33,1984,0.3
"Valentine, Itimous Thaddeus, Jr.,",D,NC-02,0.29,1984,0.56
"Whitley, Charles Orville",D,NC-03,0.42,1984,0.33
"Andrews, Ike Franklin",D,NC-04,0.38,1984,0.37
"Neal, Stephen Lybrook",D,NC-05,0.5,1984,0.62
"Britt, Charles Robin",D,NC-06,0.58,1984,0.55
"Rose, Charles Grandison",D,NC-07,0.42,1984,0.45
"Hefner, Willie Gathrel",D,NC-08,0.42,1984,0.44
"Martin, James Grubbs",R,NC-09,0.17,1984,0.26
"Broyhill, James Thomas",R,NC-10,0.29,1984,0.3
"Clarke, James McClure",D,NC-11,0.58,1984,0.72
"Burdick, Quentin Northrup",D,ND,0.67,1984,0.46
"Andrews, Mark",R,ND,0.56,1984,0.27
"Dorgan, Byron L.",D,ND-AL,0.54,1984,0.64
"Glenn, John Herschel",D,OH,0.56,1984,0.64
"Metzenbaum, Howard Morton",D,OH,0.89,1984,0.84
"Luken, Thomas Andrew",D,OH-01,0.58,1984,0.52
"Gradison, Willis David",R,OH-02,0.5,1984,0.46
"Hall, Tony P.",D,OH-03,0.71,1984,0.71
"Oxley, Michael G.",R,OH-04,0.25,1984,0.11
"Latta, Delbert Leroy",R,OH-05,0.29,1984,0.23
"McEwen, Bob",R,OH-06,0.17,1984,0.2
"DeWine, Michael",R,OH-07,0.5,1984,0.32
"Kindness, Thomas Norman",R,OH-08,0.21,1984,0.2
"Kaptur, Marcy",D,OH-09,0.67,1984,0.83
"Miller, Clarence E.",R,OH-10,0.33,1984,0.26
"Eckart, Dennis Edward",D,OH-11,0.92,1984,0.81
"Kasich, John R.",R,OH-12,0.5,1984,0.27
"Pease, Donald James",D,OH-13,0.75,1984,0.81
"Seiberling, John Frederick",D,OH-14,0.88,1984,0.92
"Wylie, Chalmers Pangburn",R,OH-15,0.25,1984,0.35
"Regula, Ralph",R,OH-16,0.5,1984,0.3
"Williams, Lyle",R,OH-17,0.46,1984,0.35
"Applegate, Douglas Earl",D,OH-18,0.5,1984,0.46
"Feighan, Edward Farrell",D,OH-19,0.88,1984,0.78
"Oakar, Mary Rose",D,OH-20,0.79,1984,0.68
"Stokes, Louis",D,OH-21,0.88,1984,0.77
"Nickles, Don",R,OK,0.56,1984,0.09
"Boren, David Lyle",D,OK,0.44,1984,0.25
"Jones, James Robert",D,OK-01,0.5,1984,0.29
"Synar, Michael Lynn",D,OK-02,0.71,1984,0.76
"Watkins, Wes",R,OK-03,0.46,1984,0.21
"McCurdy, David Keith",D,OK-04,0.46,1984,0.5
"Edwards, Marvin Henry",R,OK-05,0.21,1984,0.17
"English, Glenn Lee",D,OK-06,0.58,1984,0.33
"Hatfield, Mark Odom",R,OR,0.44,1984,0.43
"Packwood, Robert William",R,OR,0.44,1984,0.48
"AuCoin, Les",D,OR-01,0.63,1984,0.69
"Smith, Robert Freeman",R,OR-02,0.17,1984,0.09
"Wyden, Ron",D,OR-03,0.79,1984,0.91
"Weaver, James Howard",D,OR-04,0.75,1984,0.83
"Smith, Dennis Alan",R,OR-05,0.08,1984,0.16
"Specter, Arlen",D,PA,0.56,1984,0.46
"Heinz, Henry John",R,PA,0.56,1984,0.6
"Foglietta, Thomas Michael",D,PA-01,0.75,1984,0.75
"Gray, William Herbert",D,PA-02,0.75,1984,0.71
"Borski, Robert A.",D,PA-03,0.75,1984,0.75
"Kolter, Joseph Paul",D,PA-04,0.63,1984,0.48
"Schulze, Richard Taylor",R,PA-05,0.21,1984,0.24
"Yatron, Gus",D,PA-06,0.67,1984,0.56
"Edgar, Robert William",D,PA-07,0.92,1984,0.88
"Kostmayer, Peter Houston",D,PA-08,0.96,1984,0.9
"Shuster, Bill",R,PA-09,0.17,1984,0.13
"McDade, Joseph Michael",R,PA-10,0.67,1984,0.44
"Harrison, Frank Girard",D,PA-11,0.54,1984,0.53
"Murtha, John P.",D,PA-12,0.54,1984,0.46
"Coughlin, Robert Lawrence",R,PA-13,0.83,1984,0.68
"Coyne, William J.",D,PA-14,0.63,1984,0.78
"Ritter, Donald Lawrence",R,PA-15,0.58,1984,0.36
"Walker, Robert Smith",R,PA-16,0.42,1984,0.28
"Gekas, George W.",R,PA-17,0.38,1984,0.17
"Walgren, Douglas",D,PA-18,0.71,1984,0.75
"Goodling, William F.",R,PA-19,0.54,1984,0.3
"Gaydos, Joseph Matthew",D,PA-20,0.54,1984,0.49
"Ridge, Thomas Joseph",R,PA-21,0.63,1984,0.42
"Murphy, Austin John",D,PA-22,0.42,1984,0.57
"Clinger, William Floyd",R,PA-23,0.46,1984,0.29
"Chafee, John Hubbard",R,RI,0.89,1984,0.7
"Pell, Claiborne de Borda",D,RI,0.89,1984,0.8
"St. Germain, Fernand Joseph",D,RI-01,0.67,1984,0.67
"Schneider, Claudine",R,RI-02,0.88,1984,0.84
"Hollings, Ernest F.",D,SC,0.56,1984,0.57
"Thurmond, J. Strom",R,SC,0.0,1984,0.1
"Hartnett, Thomas Forbes",R,SC-01,0.17,1984,0.21
"Spence, Floyd",R,SC-02,0.33,1984,0.19
"Derrick, Butler Carson",D,SC-03,0.54,1984,0.6
"Campbell, Carroll Ashmore",R,SC-04,0.29,1984,0.21
"Spratt, John McKee",D,SC-05,0.83,1984,0.79
"Tallon, Robert Mooneyhan",D,SC-06,0.63,1984,0.53
"Pressler, Larry Lee",R,SD,0.78,1984,0.31
"Abdnor, James",R,SD,0.11,1984,0.17
"Daschle, Thomas A.",D,SD-AL,0.46,1984,0.66
"Sasser, James Ralph",D,TN,0.67,1984,0.45
"Baker, Howard Henry",R,TN,0.0,1984,0.21
"Quillen, James Henry",R,TN-01,0.13,1984,0.14
"Duncan, John James",R,TN-02,0.25,1984,0.25
"Lloyd, Marilyn Laird",D,TN-03,0.21,1984,0.3
"Cooper, Jim",D,TN-04,0.67,1984,0.83
"Boner, William Hill",D,TN-05,0.5,1984,0.48
"Gore, Albert Arnold",D,TN-06,0.5,1984,0.64
"Sundquist, Donald Kenneth",R,TN-07,0.25,1984,0.17
"Jones, Ed",D,TN-08,0.54,1984,0.32
"Ford, Harold E.",D,TN-09,0.71,1984,0.63
"Tower, John Goodwin",R,TX,0.0,1984,0.07
"Bentsen, Lloyd Millard",D,TX,0.44,1984,0.35
"Hall, Sam Blakeley",D,TX-01,0.29,1984,0.17
"Wilson, Charles",D,TX-02,0.33,1984,0.33
"Bartlett, Harry Stephen",R,TX-03,0.25,1984,0.27
"Hall, Ralph",R,TX-04,0.38,1984,0.11
"Bryant, John Wiley",D,TX-05,0.5,1984,0.72
"Gramm, Phil",R,TX-06,0.17,1984,0.09
"Archer, Bill",R,TX-07,0.33,1984,0.2
"Fields, Jack Milton",R,TX-08,0.21,1984,0.13
"Brooks, Jack Bascom",D,TX-09,0.38,1984,0.37
"Pickle, James Jarrell",D,TX-10,0.33,1984,0.41
"Leath, James Marvin",D,TX-11,0.13,1984,0.15
"Wright, James Claude",D,TX-12,0.5,1984,0.35
"Hightower, Jack English",D,TX-13,0.33,1984,0.25
"Patman, William Neff",D,TX-14,0.21,1984,0.26
"de la Garza, Eligio",D,TX-15,0.46,1984,0.32
"Coleman, Ronald D'Emory",D,TX-16,0.58,1984,0.66
"Stenholm, Charles W.",D,TX-17,0.17,1984,0.14
"Leland, George Thomas",D,TX-18,0.63,1984,0.73
"Hance, Kent Ronald",D,TX-19,0.42,1984,0.26
"Gonzalez, Henry Barbosa",D,TX-20,0.67,1984,0.53
"Loeffler, Thomas Gilbert",R,TX-21,0.04,1984,0.1
"Paul, Ron",R,TX-22,0.21,1984,0.23
"Kazen, Abraham",D,TX-23,0.42,1984,0.24
"Frost, Martin",D,TX-24,0.5,1984,0.55
"Andrews, Michael Allen",D,TX-25,0.42,1984,0.57
"Vandergriff, Tommy Joe",D,TX-26,0.29,1984,0.34
"Ortiz, Solomon P.",D,TX-27,0.71,1984,0.42
"Garn, Edwin Jacob",R,UT,0.0,1984,0.11
"Hatch, Orrin G.",R,UT,0.11,1984,0.09
"Hansen, James V.",R,UT-01,0.21,1984,0.08
"Marriott, David Daniel",R,UT-02,0.13,1984,0.15
"Nielson, Howard Curtis",R,UT-03,0.17,1984,0.12
"Stafford, Robert Theodore",R,VT,0.78,1984,0.63
"Leahy, Patrick J.",D,VT,1.0,1984,0.94
"Jeffords, James M.",I,VT-AL,0.79,1984,0.78
"Trible, Paul Seward",R,VA,0.33,1984,0.24
"Warner, John W.",R,VA,0.44,1984,0.22
"Bateman, Herbert H.",R,VA-01,0.29,1984,0.12
"Whitehurst, George William",R,VA-02,0.25,1984,0.21
"Bliley, Tom",R,VA-03,0.21,1984,0.11
"Sisisky, Norman",D,VA-04,0.38,1984,0.33
"Daniel, Wilbur Clarence",D,VA-05,0.21,1984,0.16
"Olin, James R.",D,VA-06,0.5,1984,0.47
"Robinson, James Kenneth",R,VA-07,0.17,1984,0.1
"Parris, Stanford E.",R,VA-08,0.21,1984,0.21
"Boucher, Rick",D,VA-09,0.54,1984,0.68
"Wolf, Frank",R,VA-10,0.38,1984,0.26
"Gorton, T. Slade",R,WA,0.33,1984,0.25
"Evans, Daniel Jackson",R,WA,0.44,1984,0.53
"Pritchard, Joel McFee",R,WA-01,0.21,1984,0.44
"Swift, Allan Byron",D,WA-02,0.67,1984,0.64
"Bonker, Don Leroy",D,WA-03,0.79,1984,0.72
"Morrison, Sidney Wallace",R,WA-04,0.38,1984,0.3
"Foley, Tom",D,WA-05,0.42,1984,0.54
"Dicks, Norm",D,WA-06,0.63,1984,0.71
"Lowry, Michael Edward",D,WA-07,0.88,1984,0.86
"Chandler, Rodney Dennis",R,WA-08,0.38,1984,0.36
"Randolph, Jennings",D,WV,0.56,1984,0.45
"Byrd, Robert C.",D,WV,0.78,1984,0.54
"Mollohan, Alan B.",D,WV-01,0.5,1984,0.47
"Staggers, Harley Orrin",D,WV-02,0.79,1984,0.61
"Wise, Robert E.",D,WV-03,0.75,1984,0.65
"Rahall, Nick",D,WV-04,0.63,1984,0.62
"Proxmire, William",D,WI,0.89,1984,0.87
"Kasten, Robert Walter",R,WI,0.67,1984,0.46
"Aspin, Leslie",D,WI-01,0.71,1984,0.74
"Kastenmeier, Robert William",D,WI-02,0.92,1984,0.93
"Gunderson, Steven Craig",R,WI-03,0.42,1984,0.36
"Kleczka, Gerald D.",D,WI-04,0.95,1984,0.82
"Moody, Jim",D,WI-05,0.79,1984,0.83
"Petri, Tom",R,WI-06,0.75,1984,0.4
"Obey, David Ross",D,WI-07,0.96,1984,0.85
"Roth, Toby A.",R,WI-08,0.29,1984,0.31
"Sensenbrenner, James F.",R,WI-09,0.42,1984,0.24
"Wallop, Malcolm",R,WY,0.0,1984,0.12
"Simpson, Alan Kooi",R,WY,0.22,1984,0.19
"Cheney, Richard Bruce",R,WY-AL,0.25,1984,0.13
"Denton, Jeremiah Andrew",R,AL,0.11,1983,0.1
"Heflin, Howell Thomas",D,AL,0.22,1983,0.2
"Edwards, William Jackson",R,AL-01,0.29,1983,0.2
"Dickinson, William Louis",R,AL-02,0.14,1983,0.09
"Nichols, William Flynt",D,AL-03,0.36,1983,0.19
"Bevill, Tom",D,AL-04,0.43,1983,0.31
"Flippo, Ronnie Gene",D,AL-05,0.43,1983,0.32
"Erdreich, Ben",D,AL-06,0.5,1983,0.52
"Shelby, Richard C.",R,AL-07,0.14,1983,0.13
"Stevens, Ted F.",R,AK,0.11,1983,0.14
"Murkowski, Frank H.",R,AK,0.0,1983,0.09
"Young, Don",R,AK-AL,0.14,1983,0.08
"DeConcini, Dennis Webster",D,AZ,0.67,1983,0.44
"Goldwater, Barry Morris",R,AZ,0.0,1983,0.09
"McCain, John",R,AZ-01,0.0,1983,0.2
"Udall, Morris King",D,AZ-02,0.64,1983,0.68
"Stump, Robert",R,AZ-03,0.07,1983,0.05
"Rudd, Eldon Dean",R,AZ-04,0.14,1983,0.08
"McNulty, James Francis",D,AZ-05,0.57,1983,0.61
"Pryor, David Hampton",D,AR,0.89,1983,0.54
"Bumpers, Dale",D,AR,1.0,1983,0.69
"Alexander, William Vollie",D,AR-01,0.36,1983,0.34
"Bethune, Edwin Ruthvin",R,AR-02,0.36,1983,0.28
"Hammerschmidt, John Paul",R,AR-03,0.21,1983,0.16
"Anthony, Beryl Franklin",D,AR-04,0.29,1983,0.32
"Cranston, Alan",D,CA,0.67,1983,0.77
"Wilson, Pete",R,CA,0.22,1983,0.5
"Bosco, Douglas Harry",D,CA-01,0.57,1983,0.57
"Chappie, Eugene A.",R,CA-02,0.07,1983,0.11
"Matsui, Robert T.",D,CA-03,0.79,1983,0.83
"Fazio, Victor Herbert",D,CA-04,0.71,1983,0.64
"Burton, Sala Galante",D,CA-05,0.67,1983,0.69
"Boxer, Barbara",D,CA-06,0.71,1983,0.91
"Miller, George",D,CA-07,0.5,1983,0.88
"Dellums, Ronald Vernie",D,CA-08,0.86,1983,0.92
"Stark, Pete",D,CA-09,0.86,1983,0.89
"Edwards, William Donlon",D,CA-10,0.93,1983,0.91
"Lantos, Tom",D,CA-11,0.93,1983,0.86
"Zschau, Edwin Van Wyck",R,CA-12,0.43,1983,0.53
"Mineta, Norman Yoshio",D,CA-13,0.71,1983,0.75
"Shumway, Norman David",R,CA-14,0.21,1983,0.14
"Coelho, Anthony Lee",D,CA-15,0.5,1983,0.52
"Panetta, Leon Edward",D,CA-16,0.57,1983,0.72
"Pashayan, Charles",R,CA-17,0.07,1983,0.15
"Lehman, Richard Henry",D,CA-18,0.64,1983,0.55
"Lagomarsino, Robert John",R,CA-19,0.29,1983,0.36
"Thomas, William M.",R,CA-20,0.0,1983,0.12
"Fiedler, Bobbi",R,CA-21,0.29,1983,0.34
"Moorhead, Carlos John",R,CA-22,0.21,1983,0.2
"Beilenson, Anthony Charles",D,CA-23,0.86,1983,0.89
"Waxman, Henry A.",D,CA-24,0.79,1983,0.92
"Roybal, Edward Ross",D,CA-25,0.64,1983,0.79
"Berman, Howard L.",D,CA-26,0.64,1983,0.88
"Levine, Meldon Edises",D,CA-27,0.71,1983,0.77
"Dixon, Julian C.",D,CA-28,0.79,1983,0.75
"Hawkins, Augustus Freeman",D,CA-29,0.5,1983,0.63
"Martinez, Matthew G.",D,CA-30,0.43,1983,0.62
"Dymally, Mervyn Malcolm",D,CA-31,0.71,1983,0.6
"Anderson, Glenn Malcolm",D,CA-32,0.79,1983,0.61
"Dreier, David T.",R,CA-33,0.29,1983,0.14
"Torres, Esteban Edward",D,CA-34,0.64,1983,0.83
"Lewis, Jerry",R,CA-35,0.14,1983,0.12
"Brown, George E.",D,CA-36,0.71,1983,0.75
"McCandless, Alfred A.",R,CA-37,0.07,1983,0.14
"Patterson, Jerry Mumford",D,CA-38,0.71,1983,0.68
"Dannemeyer, William Edwin",R,CA-39,0.29,1983,0.18
"Badham, Robert Edward",R,CA-40,0.0,1983,0.08
"Lowery, William David",R,CA-41,0.21,1983,0.26
"Lungren, Dan",R,CA-42,0.29,1983,0.15
"Packard, Ron",R,CA-43,0.14,1983,0.08
"Bates, Jim",D,CA-44,0.93,1983,0.91
"Hunter, Duncan L.",R,CA-45,0.14,1983,0.09
"Armstrong, William Lester",R,CO,0.22,1983,0.24
"Hart, Gary Warren",D,CO,0.78,1983,0.71
"Schroeder, Patricia Scott",D,CO-01,0.79,1983,0.86
"Wirth, Timothy E.",D,CO-02,0.64,1983,0.76
"Kogovsek, Raymond Peter",D,CO-03,0.57,1983,0.6
"Brown, George Hanks",R,CO-04,0.14,1983,0.26
"Kramer, Kenneth Bentley",R,CO-05,0.07,1983,0.16
"Schaefer, Daniel",R,CO-06,0.0,1983,0.09
"Dodd, Christopher J.",D,CT,0.89,1983,0.78
"Weicker, Lowell Palmer",R,CT,0.33,1983,0.58
"Kennelly, Barbara Bailey",D,CT-01,0.86,1983,0.87
"Gejdenson, Sam",D,CT-02,0.86,1983,0.85
"Morrison, Bruce Andrew",D,CT-03,0.86,1983,0.89
"McKinney, Stewart Brett",R,CT-04,0.79,1983,0.56
"Ratchford, William Richard",D,CT-05,0.86,1983,0.84
"Johnson, Nancy",R,CT-06,0.64,1983,0.61
"Roth, William V.",R,DE,0.67,1983,0.56
"Biden, Joe",D,DE,1.0,1983,0.83
"Carper, Tom",D,DE-AL,0.93,1983,0.84
"Hawkins, Paula",R,FL,0.56,1983,0.47
"Chiles, Lawton Mainor",D,FL,0.78,1983,0.51
"Hutto, Earl Dewitt",D,FL-01,0.36,1983,0.32
"Fuqua, Don",D,FL-02,0.43,1983,0.41
"Bennett, Charles Edward",D,FL-03,0.57,1983,0.52
"Chappell, William Venroe",D,FL-04,0.43,1983,0.22
"McCollum, Bill",R,FL-05,0.36,1983,0.26
"MacKay, Kenneth Hood",D,FL-06,0.71,1983,0.73
"Gibbons, Sam Melville",D,FL-07,0.36,1983,0.58
"Young, C.W. Bill",R,FL-08,0.21,1983,0.28
"Bilirakis, Michael",R,FL-09,0.21,1983,0.28
"Ireland, Andrew Poysell",R,FL-10,0.36,1983,0.31
"Nelson, Bill",D,FL-11,0.5,1983,0.71
"Lewis, Thomas F.",R,FL-12,0.21,1983,0.25
"Mack, Connie",R,FL-13,0.36,1983,0.17
"Mica, Daniel Andrew",D,FL-14,0.5,1983,0.52
"Shaw, Clay",R,FL-15,0.21,1983,0.29
"Smith, Lawrence Jack",D,FL-16,0.71,1983,0.78
"Lehman, William",D,FL-17,0.5,1983,0.69
"Pepper, Claude Denson",D,FL-18,0.57,1983,0.51
"Fascell, Dante Bruno",D,FL-19,0.64,1983,0.71
"Mattingly, Mack Francis",R,GA,0.33,1983,0.31
"Nunn, Samuel Augustus",D,GA,0.78,1983,0.48
"Thomas, Robert Lindsay",D,GA-01,0.79,1983,0.53
"Hatcher, Charles Floyd",D,GA-02,0.64,1983,0.35
"Ray, Richard Belmont",D,GA-03,0.43,1983,0.39
"Levitas, Elliott Harris",D,GA-04,0.36,1983,0.59
"Fowler, Wyche",D,GA-05,0.79,1983,0.7
"Gingrich, Newton Leroy",R,GA-06,0.14,1983,0.27
"Rowland, James Roy",D,GA-08,0.5,1983,0.45
"Jenkins, Edgar Lanier",D,GA-09,0.43,1983,0.39
"Barnard, Druie Douglas",D,GA-10,0.21,1983,0.32
"Matsunaga, Spark Masayuki",D,HI,0.67,1983,0.59
"Inouye, Daniel K.",D,HI,0.33,1983,0.57
"Heftel, Cecil Landau",D,HI-01,0.21,1983,0.46
"Akaka, Daniel",D,HI-02,0.43,1983,0.71
"Symms, Steven Douglas",R,ID,0.0,1983,0.1
"McClure, James Albertus",R,ID,0.0,1983,0.11
"Craig, Larry E.",R,ID-01,0.21,1983,0.08
"Hansen, George Vernon",R,ID-02,0.14,1983,0.11
"Percy, Charles Harting",R,IL,0.67,1983,0.57
"Dixon, Alan John",D,IL,0.89,1983,0.56
"Hayes, Charles Arthur",D,IL-01,0.6,1983,0.77
"Savage, Gus",D,IL-02,0.71,1983,0.68
"Russo, Martin Anthony",D,IL-03,0.64,1983,0.68
"O'Brien, George Miller",R,IL-04,0.36,1983,0.25
"Lipinski, William O.",D,IL-05,0.57,1983,0.57
"Hyde, Henry",R,IL-06,0.29,1983,0.19
"Collins, Cardiss",D,IL-07,0.57,1983,0.69
"Rostenkowski, Daniel David",D,IL-08,0.57,1983,0.46
"Yates, Sidney Richard",D,IL-09,0.93,1983,0.84
"Porter, John Edward",R,IL-10,0.5,1983,0.63
"Annunzio, Frank",D,IL-11,0.43,1983,0.52
"Crane, Philip M.",R,IL-12,0.14,1983,0.13
"Erlenborn, John Neal",R,IL-13,0.14,1983,0.25
"Corcoran, Thomas Joseph",R,IL-14,0.21,1983,0.35
"Madigan, Edward Rell",R,IL-15,0.5,1983,0.33
"Martin, Lynn Morley",R,IL-16,0.5,1983,0.48
"Evans, Lane A.",D,IL-17,1.0,1983,0.9
"Michel, Robert Henry",R,IL-18,0.21,1983,0.15
"Crane, Daniel Bever",R,IL-19,0.29,1983,0.22
"Durbin, Dick",D,IL-20,0.86,1983,0.88
"Price, Charles Melvin",D,IL-21,0.64,1983,0.55
"Simon, Paul Martin",D,IL-22,0.57,1983,0.72
"Quayle, James Danforth",R,IN,0.56,1983,0.33
"Lugar, Richard G.",R,IN,0.56,1983,0.24
"Hall, Katie Beatrice",D,IN-01,0.71,1983,0.67
"Sharp, Philip Riley",D,IN-02,0.86,1983,0.76
"Hiler, John Patrick",R,IN-03,0.29,1983,0.36
"Coats, Dan",R,IN-04,0.21,1983,0.22
"Hillis, Elwood Haynes",R,IN-05,0.36,1983,0.31
"Burton, Dan L.",R,IN-06,0.21,1983,0.07
"Myers, John Thomas",R,IN-07,0.07,1983,0.11
"McCloskey, Francis Xavier",D,IN-08,0.79,1983,0.72
"Hamilton, Lee Herbert",D,IN-09,0.71,1983,0.68
"Jacobs, Andrew",D,IN-10,0.71,1983,0.74
"Grassley, Chuck E.",R,IA,0.44,1983,0.18
"Jepsen, Roger William",R,IA,0.56,1983,0.4
"Leach, James A.",R,IA-01,0.79,1983,0.61
"Tauke, Thomas Joseph",R,IA-02,0.64,1983,0.52
"Evans, Thomas Cooper",R,IA-03,0.57,1983,0.52
"Smith, Neal Edward",D,IA-04,0.43,1983,0.46
"Harkin, Tom",D,IA-05,0.86,1983,0.83
"Bedell, Berkley Warren",D,IA-06,1.0,1983,0.85
"Kassebaum, Nancy Landon",R,KS,0.44,1983,0.34
"Dole, Robert Joseph",R,KS,0.11,1983,0.19
"Roberts, Pat",R,KS-01,0.14,1983,0.09
"Slattery, James Charles",D,KS-02,0.79,1983,0.63
"Winn, Edward Lawrence",R,KS-03,0.07,1983,0.18
"Glickman, Daniel Robert",D,KS-04,0.93,1983,0.69
"Whittaker, Robert Russell",R,KS-05,0.21,1983,0.27
"Huddleston, Walter Darlington",D,KY,0.33,1983,0.34
"Ford, Wendell Hampton",D,KY,0.56,1983,0.38
"Hubbard, Carroll",D,KY-01,0.21,1983,0.28
"Natcher, William Huston",D,KY-02,0.5,1983,0.45
"Mazzoli, Romano Louis",D,KY-03,0.64,1983,0.56
"Snyder, Marion Gene",R,KY-04,0.07,1983,0.19
"Rogers, Harold",R,KY-05,0.14,1983,0.08
"Hopkins, Larry Jones",R,KY-06,0.14,1983,0.23
"Perkins, Carl Dewey",D,KY-07,0.71,1983,0.49
"Johnston, John Bennett",D,LA,0.11,1983,0.26
"Long, Russell Billiu",D,LA,0.33,1983,0.18
"Livingston, Robert Linligthgow",R,LA-01,0.14,1983,0.13
"Boggs, Corinne Claiborne",D,LA-02,0.5,1983,0.49
"Tauzin, William J.",R,LA-03,0.36,1983,0.18
"Roemer, Charles Elson",D,LA-04,0.5,1983,0.52
"Huckaby, Thomas Jerald",D,LA-05,0.43,1983,0.3
"Moore, William Henson",R,LA-06,0.07,1983,0.24
"Breaux, John B.",D,LA-07,0.14,1983,0.24
"Long, Gillis William",D,LA-08,0.64,1983,0.43
"Mitchell, George John",D,ME,0.89,1983,0.78
"Cohen, William Sebastian",R,ME,0.56,1983,0.71
"McKernan, John Rettie",R,ME-01,0.86,1983,0.79
"Snowe, Olympia",R,ME-02,0.79,1983,0.65
"Sarbanes, Paul S.",D,MD,0.89,1983,0.91
"Mathias, Charles McCurdy",R,MD,0.22,1983,0.56
"Dyson, Royden Patrick",D,MD-01,0.43,1983,0.47
"Long, Clarence Dickinson",D,MD-02,0.71,1983,0.72
"Mikulski, Barbara A.",D,MD-03,0.86,1983,0.85
"Holt, Marjorie Sewell",R,MD-04,0.0,1983,0.21
"Hoyer, Steny H.",D,MD-05,0.71,1983,0.82
"Byron, Beverly Barton Butcher",D,MD-06,0.5,1983,0.4
"Mitchell, Parren James",D,MD-07,0.79,1983,0.82
"Barnes, Michael Darr",D,MD-08,0.86,1983,0.93
"Kennedy, Edward M.",D,MA,0.56,1983,0.83
"Tsongas, Paul Efthemios",D,MA,1.0,1983,0.76
"Conte, Silvio Ottavio",R,MA-01,0.79,1983,0.8
"Boland, Edward Patrick",D,MA-02,0.57,1983,0.66
"Early, Joseph Daniel",D,MA-03,0.71,1983,0.76
"Frank, Barney",D,MA-04,0.86,1983,0.92
"Shannon, James Michael",D,MA-05,0.79,1983,0.77
"Mavroules, Nicholas James",D,MA-06,0.71,1983,0.76
"Markey, Ed",D,MA-07,1.0,1983,0.94
"O'Neill, Thomas Phillip",D,MA-08,,1983,0.58
"Moakley, John Joseph",D,MA-09,0.71,1983,0.77
"Studds, Gerry Eastman",D,MA-10,0.93,1983,0.93
"Donnelly, Brian Joseph",D,MA-11,0.57,1983,0.68
"Riegle, Donald Wayne",D,MI,0.78,1983,0.74
"Levin, Carl",D,MI,1.0,1983,0.81
"Conyers, John",D,MI-01,0.5,1983,0.82
"Pursell, Carl Duane",R,MI-02,0.36,1983,0.5
"Wolpe, Howard Eliot",D,MI-03,0.93,1983,0.95
"Siljander, Mark Deli",R,MI-04,0.36,1983,0.29
"Sawyer, Harold Samuel",R,MI-05,0.43,1983,0.43
"Carr, Milton Robert",D,MI-06,0.71,1983,0.67
"Kildee, Dale E.",D,MI-07,1.0,1983,0.89
"Traxler, Jerome Bob",D,MI-08,0.64,1983,0.58
"Vander Jagt, Guy Adrian",R,MI-09,0.21,1983,0.29
"Albosta, Donald Joseph",D,MI-10,0.43,1983,0.54
"Davis, Robert William",R,MI-11,0.21,1983,0.32
"Bonior, David E.",D,MI-12,0.79,1983,0.84
"Crockett, George William",D,MI-13,0.64,1983,0.69
"Hertel, Dennis Mark",D,MI-14,1.0,1983,0.87
"Ford, William David",D,MI-15,0.57,1983,0.66
"Dingell, John D.",D,MI-16,0.57,1983,0.75
"Levin, Sander M.",D,MI-17,0.86,1983,0.92
"Broomfield, William S.",R,MI-18,0.57,1983,0.34
"Boschwitz, Rudolph Eli",R,MN,0.78,1983,0.56
"Durenberger, David Ferdinand",R,MN,0.67,1983,0.6
"Penny, Timothy Joseph",D,MN-01,0.86,1983,0.64
"Weber, John Vincent",R,MN-02,0.86,1983,0.57
"Frenzel, William Eldridge",R,MN-03,0.29,1983,0.45
"Vento, Bruce F.",D,MN-04,1.0,1983,0.85
"Sabo, Martin Olav",D,MN-05,0.64,1983,0.83
"Sikorski, Gerald Edward",D,MN-06,0.93,1983,0.93
"Stangeland, Arlan Ingehart",R,MN-07,0.21,1983,0.15
"Oberstar, James L.",D,MN-08,0.86,1983,0.74
"Stennis, John Cornelius",D,MS,0.33,1983,0.15
"Cochran, Thad",R,MS,0.11,1983,0.09
"Whitten, Jamie Lloyd",D,MS-01,0.43,1983,0.28
"Franklin, William Webster",R,MS-02,0.07,1983,0.14
"Montgomery, Gillespie V.",D,MS-03,0.07,1983,0.15
"Dowdy, Charles Wayne",D,MS-04,0.57,1983,0.46
"Lott, Trent",R,MS-05,0.0,1983,0.09
"Danforth, John Claggett",R,MO,0.22,1983,0.32
"Eagleton, Thomas Francis",D,MO,0.89,1983,0.58
"Clay, William Lacy",D,MO-01,0.57,1983,0.76
"Young, Robert Anton",D,MO-02,0.43,1983,0.38
"Gephardt, Richard Andrew",D,MO-03,0.71,1983,0.64
"Skelton, Ike",D,MO-04,0.57,1983,0.44
"Wheat, Alan Dupree",D,MO-05,0.64,1983,0.77
"Coleman, Earl Thomas",R,MO-06,0.57,1983,0.3
"Taylor, Gene",R,MO-07,0.07,1983,0.1
"Emerson, Norvell William",R,MO-08,0.14,1983,0.08
"Volkmer, Harold Lee",D,MO-09,0.64,1983,0.42
"Melcher, John",D,MT,0.67,1983,0.54
"Baucus, Max S.",D,MT,0.67,1983,0.69
"Williams, John Patrick",D,MT-01,0.71,1983,0.66
"Marlenee, Ronald Charles",R,MT-02,0.07,1983,0.21
"Exon, J. James",D,NE,0.44,1983,0.52
